Regime,Model,N observations,RMSE,MAE,WAPE (%),Peak-MAE,Best in Regime by WAPE,Temporal Only WAPE (%),WAPE Gain vs Temporal Only (%),Gain Interpretation
Commute,Weather + Calendar,461,100.08647276342532,73.7723199332802,14.75753713972629,162.0548374701256,True,15.394692839566218,4.138800991224464,Improves over Temporal Only
Commute,Full Cross-Modal Fusion,461,100.25580494887026,73.97341051849087,14.797763633652188,163.87443195048706,False,15.394692839566218,3.877499941927064,Improves over Temporal Only
Commute,Temporal + Weather,461,101.13305030118326,74.41771112131525,14.886642262564953,161.92840522824358,False,15.394692839566218,3.3001670270128027,Improves over Temporal Only
Commute,Temporal + Calendar,461,103.60614669008176,76.13251589711149,15.229674651800915,182.40765979761875,False,15.394692839566218,1.0719160783850588,Improves over Temporal Only
Commute,Temporal + Neighborhood,461,103.81761010337326,76.25719144034768,15.25461495409028,183.94146754181438,False,15.394692839566218,0.909910232933785,Improves over Temporal Only
Commute,Temporal Only,461,104.89649592228247,76.9574350165668,15.394692839566218,184.74704999054185,False,15.394692839566218,0.0,No change
Holiday,Weather + Calendar,89,46.99181916982677,30.339973865231755,19.376131415079165,59.98829241265129,True,20.58065381975519,5.852692607461363,Improves over Temporal Only
Holiday,Full Cross-Modal Fusion,89,47.366495764310265,30.454866995396145,19.449506046139945,65.18661405279916,False,20.58065381975519,5.496170255434101,Improves over Temporal Only
Holiday,Temporal + Calendar,89,47.32725901527723,30.80485890231823,19.67302269163408,64.07401595749941,False,20.58065381975519,4.410118046152077,Improves over Temporal Only
Holiday,Temporal + Weather,89,48.29347886999014,31.685611270955224,20.235500883430056,61.506514279575654,False,20.58065381975519,1.6770746903765807,Improves over Temporal Only
Holiday,Temporal Only,89,48.754908485679366,32.226066475520106,20.58065381975519,66.01746789496866,False,20.58065381975519,0.0,No change
Holiday,Temporal + Neighborhood,89,48.794348698039265,32.404653059542646,20.694705240378074,70.23696285666223,False,20.58065381975519,-0.5541681115757616,Worse than Temporal Only
Leisure,Weather + Calendar,329,62.71376158517378,48.193652221465825,11.917824131373656,100.66103292942898,True,12.522707254599197,4.830290375137423,Improves over Temporal Only
Leisure,Full Cross-Modal Fusion,329,63.759329746998986,48.84860323604124,12.07978718348901,103.01522135142683,False,12.522707254599197,3.5369354413960004,Improves over Temporal Only
Leisure,Temporal + Calendar,329,64.0642228638968,49.04885346124591,12.129307127636224,110.68211041779904,False,12.522707254599197,3.141494238943338,Improves over Temporal Only
Leisure,Temporal + Neighborhood,329,65.03164552440332,49.467011662870924,12.232713607044703,111.60080417882043,False,12.522707254599197,2.315742448167419,Improves over Temporal Only
Leisure,Temporal + Weather,329,63.85930023721531,49.51411356709166,12.244361452453388,101.16724236007352,False,12.522707254599197,2.2227286519341214,Improves over Temporal Only
Leisure,Temporal Only,329,65.360751061181,50.639696612960456,12.522707254599197,110.13927196965673,False,12.522707254599197,0.0,No change
Mixed Regime,Full Cross-Modal Fusion,1114,32.960622577310495,20.275553728061006,13.496520461452862,38.60113869991627,True,13.812314137068038,2.2863198192667924,Improves over Temporal Only
Mixed Regime,Weather + Calendar,1114,33.53930279529484,20.45700239284614,13.617302643277402,37.8907584658274,False,13.812314137068038,1.411866917124949,Improves over Temporal Only
Mixed Regime,Temporal + Neighborhood,1114,33.172540964911,20.46639464536306,13.623554641618554,39.70894341555868,False,13.812314137068038,1.3666029716404322,Improves over Temporal Only
Mixed Regime,Temporal + Calendar,1114,33.234409483125916,20.495077210768823,13.642647330088517,39.296920113359725,False,13.812314137068038,1.2283735027730576,Improves over Temporal Only
Mixed Regime,Temporal + Weather,1114,33.851211027586615,20.628396143137167,13.73139172260876,37.97041915390282,False,13.812314137068038,0.5858715176633997,Improves over Temporal Only
Mixed Regime,Temporal Only,1114,33.77672964699977,20.749964273742354,13.812314137068038,39.91678272362607,False,13.812314137068038,0.0,No change
Severe Weather,Temporal + Weather,186,65.31218503304046,37.50706421737201,27.32808658896475,86.35860042703641,True,29.549839141328,7.518662087252909,Improves over Temporal Only
